Group,ID,List,Target,RT,RT_log,Critical_Filler,Word_Nonword,Relation_type,Branching,accuracy
L1,L1_06,F,unthankful,832,6.7238,Critical,Word,Constituent,Right,correct
L1,L1_06,F,untruthful,572,6.3491,Critical,Word,Unrelated,Right,correct
L1,L1_06,F,unsharpness,684,6.528,Critical,Word,Unrelated,Left,correct
L1,L1_06,F,untouchable,702,6.5539,Critical,Word,Unrelated,Right,correct
L1,L1_06,F,uncleverness,1010,6.9177,Critical,Word,Constituent,Left,incorrect
L1,L1_06,F,reattachable,664,6.4983,Critical,Word,Unrelated,Left,correct
L1,L1_06,F,reobtainable,636,6.4552,Critical,Word,Constituent,Left,correct
L1,L1_06,F,unavoidable,566,6.3386,Critical,Word,Constituent,Right,correct
L1,L1_06,F,resealable,886,6.7867,Critical,Word,NonConstituent,Left,correct
L1,L1_07,A,reattachable,659,6.4907,Critical,Word,Constituent,Left,correct
L1,L1_07,A,unclearness,828,6.719,Critical,Word,Constituent,Left,correct
L1,L1_07,A,reusable,663,6.4968,Critical,Word,NonConstituent,Left,correct
L1,L1_07,A,untruthful,576,6.3561,Critical,Word,Constituent,Right,correct
L1,L1_07,A,ungraceful,1044,6.9508,Critical,Word,Constituent,Right,correct
L1,L1_07,A,untouchable,645,6.4693,Critical,Word,Constituent,Right,correct
L1,L1_07,A,undeniable,699,6.5497,Critical,Word,Unrelated,Right,incorrect
L1,L1_07,A,resealable,947,6.8533,Critical,Word,Unrelated,Left,correct
L1,L1_07,A,unhappiness,779,6.658,Critical,Word,Unrelated,Left,correct
L1,L1_07,A,unresentful,700,6.5511,Critical,Word,Unrelated,Right,correct
L1,L1_07,A,unskillful,1199,7.0892,Critical,Word,Constituent,Right,correct
L1,L1_07,A,unsharpness,773,6.6503,Critical,Word,Constituent,Left,correct
L1,L1_07,A,unavoidable,881,6.7811,Critical,Word,Unrelated,Right,correct
L1,L1_07,A,uneventful,749,6.6187,Critical,Word,Unrelated,Right,correct
L1,L1_07,A,unthankful,694,6.5425,Critical,Word,Unrelated,Right,correct
L1,L1_07,A,reclosable,535,6.2823,Critical,Word,NonConstituent,Left,incorrect
L1,L1_07,A,readjustable,744,6.612,Critical,Word,Unrelated,Left,correct
L1,L1_07,A,unbreakable,561,6.3297,Critical,Word,Constituent,Right,correct
L1,L1_07,A,unawareness,669,6.5058,Critical,Word,Unrelated,Left,correct
L1,L1_07,A,uncleverness,677,6.5177,Critical,Word,NonConstituent,Left,correct
L1,L1_07,A,unholiness,696,6.5453,Critical,Word,Constituent,Left,correct
L1,L1_07,A,unripeness,1098,7.0012,Critical,Word,Unrelated,Left,correct
L1,L1_07,A,unkindness,637,6.4568,Critical,Word,NonConstituent,Left,correct
L1,L1_07,A,resellable,758,6.6307,Critical,Word,Constituent,Left,correct
L1,L1_07,A,reobtainable,977,6.8845,Critical,Word,NonConstituent,Left,correct
L1,L1_07,A,unreadable,705,6.5582,Critical,Word,Unrelated,Right,correct
L1,L1_07,A,unwariness,829,6.7202,Critical,Word,NonConstituent,Left,correct
L1,L1_07,A,rehydratable,1157,7.0536,Critical,Word,Constituent,Left,correct
L1,L1_07,A,unmovable,603,6.4019,Critical,Word,Constituent,Right,correct
L1,L1_07,A,recomputable,832,6.7238,Critical,Word,Unrelated,Left,correct
L1,L1_08,B,unawareness,673,6.5117,Critical,Word,Constituent,Left,correct
L1,L1_08,B,unmovable,731,6.5944,Critical,Word,Constituent,Right,correct
L1,L1_08,B,resellable,672,6.5103,Critical,Word,NonConstituent,Left,incorrect
L1,L1_08,B,reusable,743,6.6107,Critical,Word,Unrelated,Left,correct
L1,L1_08,B,unsharpness,1004,6.9117,Critical,Word,NonConstituent,Left,correct
L1,L1_08,B,uneventful,560,6.3279,Critical,Word,Unrelated,Right,correct
L1,L1_08,B,untruthful,727,6.5889,Critical,Word,Constituent,Right,correct
L1,L1_08,B,unthankful,974,6.8814,Critical,Word,Unrelated,Right,correct
L1,L1_08,B,readjustable,731,6.5944,Critical,Word,Constituent,Left,correct
L1,L1_08,B,unholiness,1212,7.1,Critical,Word,NonConstituent,Left,correct
L1,L1_08,B,unresentful,728,6.5903,Critical,Word,Unrelated,Right,correct
L1,L1_08,B,unavoidable,1002,6.9098,Critical,Word,Unrelated,Right,correct
L1,L1_08,B,untouchable,749,6.6187,Critical,Word,Constituent,Right,correct
L1,L1_08,B,rehydratable,922,6.8265,Critical,Word,NonConstituent,Left,correct
L1,L1_08,B,reobtainable,1022,6.9295,Critical,Word,Unrelated,Left,correct
L1,L1_08,B,unskillful,668,6.5043,Critical,Word,Constituent,Right,correct
L1,L1_08,B,unhappiness,672,6.5103,Critical,Word,Constituent,Left,correct
L1,L1_08,B,unkindness,618,6.4265,Critical,Word,Unrelated,Left,correct
L1,L1_08,B,uncleverness,1014,6.9217,Critical,Word,Unrelated,Left,correct
L1,L1_08,B,unripeness,876,6.7754,Critical,Word,Constituent,Left,correct
L1,L1_08,B,unwariness,996,6.9037,Critical,Word,Unrelated,Left,incorrect
L1,L1_08,B,undeniable,667,6.5028,Critical,Word,Unrelated,Right,incorrect
L1,L1_08,B,reclosable,990,6.8977,Critical,Word,Unrelated,Left,incorrect
L1,L1_08,B,unreadable,709,6.5639,Critical,Word,Unrelated,Right,correct
L1,L1_08,B,ungraceful,573,6.3509,Critical,Word,Constituent,Right,correct
L1,L1_08,B,unclearness,684,6.528,Critical,Word,NonConstituent,Left,correct
L1,L1_08,B,unbreakable,879,6.7788,Critical,Word,Constituent,Right,correct
L1,L1_08,B,resealable,636,6.4552,Critical,Word,Constituent,Left,correct
L1,L1_08,B,recomputable,855,6.7511,Critical,Word,Constituent,Left,correct
L1,L1_08,B,reattachable,784,6.6644,Critical,Word,NonConstituent,Left,correct
L1,L1_09,C,unreadable,639,6.4599,Critical,Word,Unrelated,Right,correct
L1,L1_09,C,readjustable,1401,7.2449,Critical,Word,NonConstituent,Left,correct
L1,L1_09,C,unwariness,862,6.7593,Critical,Word,Constituent,Left,correct
L1,L1_09,C,unholiness,719,6.5779,Critical,Word,Unrelated,Left,correct
L1,L1_09,C,unsharpness,877,6.7765,Critical,Word,Unrelated,Left,correct
L1,L1_09,C,unthankful,883,6.7833,Critical,Word,Unrelated,Right,correct
L1,L1_09,C,unskillful,529,6.271,Critical,Word,Constituent,Right,correct
L1,L1_09,C,unavoidable,684,6.528,Critical,Word,Unrelated,Right,correct
L1,L1_09,C,resealable,902,6.8046,Critical,Word,NonConstituent,Left,correct
L1,L1_09,C,unbreakable,656,6.4862,Critical,Word,Constituent,Right,correct
L1,L1_09,C,unresentful,855,6.7511,Critical,Word,Unrelated,Right,correct
